epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1774.41,0.58782,0.67898,0.94886,0.98557,0.66667,0.74716,0.63084,0.73114,1.79142,0.97476,0.000226868,0.000226868,0.000226868
149,1785.43,0.59236,0.6913,0.94508,0.98547,0.66667,0.74725,0.6309,0.75174,1.79758,0.97602,0.000222744,0.000222744,0.000222744
150,1796.45,0.56829,0.64882,0.92634,0.98611,0.66667,0.74723,0.61427,0.78512,1.75491,0.9925,0.000218621,0.000218621,0.000218621
151,1807.65,0.53629,0.63697,0.95484,0.98667,0.66667,0.76338,0.61588,0.83142,1.70168,1.03749,0.000214497,0.000214497,0.000214497
152,1818.67,0.55319,0.63341,0.97576,0.98644,0.66667,0.75659,0.61524,0.81465,1.56645,1.06896,0.000210374,0.000210374,0.000210374
153,1829.77,0.59745,0.63481,0.99151,0.98628,0.66667,0.75461,0.64817,0.78499,1.42889,1.05901,0.000206251,0.000206251,0.000206251
154,1840.79,0.49178,0.61559,0.96221,0.98589,0.66667,0.74723,0.66406,0.76866,1.42819,1.05653,0.000202127,0.000202127,0.000202127
155,1851.79,0.50867,0.59804,0.91504,0.9856,0.66667,0.74716,0.66402,0.76285,1.5516,1.06263,0.000198004,0.000198004,0.000198004
156,1863.09,0.56059,0.64293,0.94452,0.98526,0.66667,0.7472,0.66405,0.7626,1.66664,1.0367,0.000193881,0.000193881,0.000193881
157,1874.18,0.54748,0.67783,0.98749,0.98397,0.66667,0.74718,0.65029,0.73314,1.68577,1.00413,0.000189757,0.000189757,0.000189757
158,1885.15,0.53697,0.63173,0.93396,0.9821,0.66667,0.74723,0.65308,0.71762,1.67354,0.9954,0.000185634,0.000185634,0.000185634
159,1896.35,0.55409,0.60725,0.94456,0.98018,0.66667,0.74738,0.65319,0.75596,1.71728,1.02574,0.000181511,0.000181511,0.000181511
160,1909.07,0.61329,0.63309,0.94724,0.9768,0.66667,0.74764,0.63407,0.77063,1.68066,1.05877,0.000177387,0.000177387,0.000177387
